1086,Glider,1,1,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,2,2,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,3,3,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,4,4,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,5,5,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,6,6,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,7,7,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,8,8,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,9,9,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,10,10,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,11,11,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,12,12,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,13,13,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,14,14,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,Glider,15,15,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
